ID,year,month,ngas_ft3,ngas_cost,pgas_ft3,oil_gal,makeup_wat_gal,makeup_wat_cost,avg_feedback_temp,electric_kwh,elec_cost,elec_cost_per_kwh,gen_steam_lb,gen_steam_no1_lb,gen_steam_no2_lb,gen_steam_no3_lb,gen_steam_no4_lb,boiler_efficiency,steam_cost_fuel_per_mlb,steam_cost_total_per_mlb,hdd,cdd,mean_outside_temp,fyear,ngas_per_dt,dt
19,8,3,19890000,206145.54,0,0,835900,5940.18,236,26000,1466.3,0.06,12117310,0,10355310,1133380,628620,59,17.62,19.48,602,0,46,FY 07/08,10.36,19890
91,14,3,22510000,137725.62,0,0,562000,4519.9,230,26080,1532.36,0.06,15849090,0,6632890,5132100,4084100,69,9.07,10.5,610,0,45,FY 13/14,6.12,22510
87,13,11,20981400,97496.36,0,0,470600,3573.24,230,42880,2560.28,0.06,12459330,0,10131610,2327720,0,61,8.32,10.13,624,0,44,FY 13/14,4.65,20981
75,12,11,19870000,112329.01,0,0,669500,5060.56,230,29520,1713.93,0.06,12040580,0,8951450,3089130,0,60,9.89,11.76,636,0,44,FY 12/13,5.65,19870
54,11,2,19610000,124327.2,0,0,432400,4652.19,236,26560,1431.56,0.05,13173450,0,7794930,4479080,899440,66,9.9,11.61,637,2,42,FY 10/11,6.34,19610
76,12,12,20710000,121271.38,0,0,696600,5001.98,230,26320,1560.41,0.06,12585720,0,8803600,3782120,0,60,10.16,11.95,642,0,44,FY 12/13,5.86,20710
66,12,2,20310000,106135.56,0,0,615300,4896.93,230,29280,1755.92,0.06,13032840,0,8921130,3292490,819220,63,8.65,10.38,646,0,43,FY 11/12,5.23,20310
43,10,3,21930000,137183.5,0,0,917800,3429.78,236,37440,2079.42,0.06,13446160,0,8687260,3208970,1549930,60,10.61,12.28,648,0,44,FY 09/10,6.26,21930
100,14,12,21860000,130829.03,0,0,389500,4185.48,230,32320,2032.93,0.06,17576800,0,586450,3908960,13081390,78,7.8,9.08,658,0,44,FY 14/15,5.98,21860
16,7,12,19260000,172397.41,0,0,677400,5211.9,236,27120,1556.42,0.06,12979840,0,9705200,1522770,1751870,65,13.8,15.53,664,0,44,FY 07/08,8.95,19260
27,8,11,21160000,213674.01,0,0,836500,6239.49,236,23200,1192.64,0.05,13085950,0,9925910,3160040,0,60,16.9,18.62,666,0,43,FY 08/09,10.1,21160
18,8,2,20510000,199657.69,0,0,777400,5841.03,236,24480,1383,0.06,13922880,0,7493970,3000380,3428530,66,14.86,16.48,668,0,42,FY 07/08,9.73,20510
77,13,1,21970000,124968.43,0,0,662500,4736.02,230,27760,1626.74,0.06,14197850,0,9372960,4824890,0,64,9.25,10.84,674,0,43,FY 12/13,5.69,21970
28,8,12,21180000,186018.72,0,0,811800,5608.46,236,30320,1624.24,0.05,13233100,0,10261610,2734060,237430,60,14.6,16.3,683,0,43,FY 08/09,8.78,21180
90,14,2,21070000,207419.77,0,0,527600,4025.15,230,26080,1584.41,0.06,15143680,0,9066390,5534820,542470,70,14.07,15.56,686,0,41,FY 13/14,9.84,21070
64,11,12,21400000,121578.99,0,0,735100,5433.78,232,33200,1878.09,0.06,16634840,0,103510,4210890,12320440,77,7.75,9.1,694,0,43,FY 11/12,5.68,21400
88,13,12,23541600,116426.26,0,0,583100,4370.48,230,29360,1811.95,0.06,14592480,0,10113330,4479150,0,63,8.4,9.94,710,0,42,FY 13/14,4.95,23542
99,14,11,22920000,122823.96,0,0,407900,3920.38,230,27520,1640.45,0.06,18576410,0,68160,2851900,15656350,79,6.91,8.12,714,0,41,FY 14/15,5.36,22920
114,16,2,21170000,110584.79,0,0,232100,3812.6,230,33360,1982.45,0.06,14806850,0,8993644,5555517,1738374,68,7.86,10.9,718,0,40,FY 15/16,5.22,21170
79,13,3,24143600,131692.31,0,0,789300,4999.35,230,24320,1384.05,0.06,15075720,0,9601510,5474210,0,64,9.16,10.65,735,0,41,FY 12/13,5.45,24144
78,13,2,22080000,121269.35,0,0,692900,4500.82,230,25760,1494.08,0.06,14145650,0,8976390,5169260,0,63,9,10.59,744,0,38,FY 12/13,5.49,22080
30,9,2,22880000,142437.7,0,0,885700,7198.59,236,26480,1361.26,0.05,15052250,0,9512640,3529800,2009810,64,10.03,11.53,744,0,38,FY 08/09,6.23,22880
65,12,1,23040000,126953.4,0,0,794700,5504.22,230,22400,1238.72,0.06,14233340,0,8058620,3889980,2284740,61,9.39,10.97,776,0,40,FY 11/12,5.51,23040
6,7,2,24730000,219917.27,0,0,1239300,5052.43,234,28960,1636.88,0.06,15742290,0,9690890,3028450,3022950,62,14.4,15.83,811,0,36,,8.89,24730
40,9,12,22470000,132167.61,0,0,525000,3201.29,236,34880,1930.61,0.06,13279790,0,9413090,3866700,0,58,10.34,12.04,853,0,37,FY 09/10,5.88,22470
42,10,2,25290000,168660.9,0,0,983900,4885.8,236,31600,1768.02,0.06,16961100,0,7922210,3351090,5687800,66,10.34,11.67,884,0,33,FY 09/10,6.67,25290
101,15,1,26480000,137280.84,0,0,496600,5522.72,230,28000,1648.67,0.06,20390070,0,2087200,6116440,12186430,75,7.08,8.18,887,0,36,FY 14/15,5.18,26480
102,15,2,22750000,116931.58,0,25000,534100,5456.81,230,31920,1779.32,0.06,19863780,0,3091740,5610630,11161410,74,9.84,10.97,907,0,29,FY 14/15,5.14,22750
17,8,1,24960000,221119.58,0,0,782700,6168.95,236,26560,1492.78,0.06,16476060,0,11129680,3506380,1840000,64,13.89,15.26,914,0,36,FY 07/08,8.86,24960
29,9,1,25780000,204711.02,0,0,959300,6022.65,236,26880,1376.39,0.05,17426530,0,10864600,3731330,2830600,65,12.17,13.46,915,0,35,FY 08/09,7.94,25780
113,16,1,24630000,125593.44,0,0,286500,3818.21,230,26640,1554.35,0.06,16264320,0,10170200,6094120,0,64,8.05,9.43,959,0,34,FY 15/16,5.1,24630
53,11,1,26670000,153317.59,0,0,631300,5053.24,236,22800,1187.22,0.05,17517440,0,9450540,2259100,5807800,65,9.11,10.39,991,0,33,FY 10/11,5.75,26670
41,10,1,26420000,190673.34,0,7500,1019500,3948.92,236,38240,2105.11,0.06,18107600,0,10584590,4417820,3105190,67,11.45,12.69,1013,0,32,FY 09/10,7.22,26420
52,10,12,28230000,161991.94,0,0,1034400,6554.09,236,34000,1750.46,0.05,18194600,0,10163570,306240,7724790,65,9.36,10.6,1102,0,29,FY 10/11,5.74,28230
